location_name,mrf_url
Ronald Reagan UCLA Medical Center,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json?refresh=2026
UCLA Santa Monica Medical Center,https://www.uclahealth.org/sites/default/files/cms-hpt/954541687_santa-monica-ucla-medical-center-and-orthopaedic-hospital_standardcharges.json?refresh=2026
Resnick Neuropsychiatric Hospital at UCLA,https://www.uclahealth.org/sites/default/files/cms-hpt/953701255_resnick-neuropsychiatric-hospital-at-ucla_standardcharges.json?refresh=2026
UCLA West Valley Medical Center,https://www.uclahealth.org/sites/default/files/cms-hpt/95-6006143_UCLA-West-Valley-Medical-Center_standardcharges.json?refresh=2026
